Tiempo (meses),Dinero ($)
4.73,261.38
3.65,175.88
7.8,701.97
2.61,98.1
6.54,10.78
6.92,42.21
0.97,395.9
11.61,499.39
5.13,239.45
7.35,219.31
9.05,547.42
11.09,304.8
6.25,281.8
6.15,527.08
7.65,596.84
4.02,345.49
10.54,599.77
1.72,563.51
3.46,54.86
3.04,647.18
8.75,256.81
2.99,72.1
11.09,942.25
3.96,448.43
6.43,639.65
3.56,157.29
3.2,378.57
11.27,246.36
3.71,156.17
6.42,793.71
6.88,602.59
11.21,205.14
6.02,327.06
5.47,355.08
11.95,846.41
11.93,779.17
11.32,7.23
10.05,205.68
4.7,347.43
8.76,354.67
4.26,303.41
8.32,477.85
4.49,718.56
10.9,509.99
11.39,827.66
5.96,241.74
10.81,19.42
8.85,213.31
1.26,534.18
4.27,130.34
1.65,83.81
2.77,446.12
3.22,336.92
8.55,472.14
9.07,68.4
9.7,673.88
7.61,597.39
6.16,743.73
3.6,522.78
11.97,565.76
5.52,65.47
5.71,149.33
4.37,600.21
2.86,137.25
5.36,465.41
8.66,857.36
9.16,230.01
1.23,339.1
3.87,116.14
1.68,371.75
1.63,177.62
2.38,414.06
9.94,711.8
11.33,928.36
2.3,250.03
10.67,285.51
0.94,74.39
11.58,997.38
6.53,182.16
11.84,596.98
10.68,780.73
4.8,174.94
2.84,381.13
0.79,359.52
2.6,31.47
10.03,428.95
2.62,673.24
5.99,751.22
3.11,164.51
10.12,382.74
0.93,602.05
11.85,52.37
5.9,256.58
7.68,534.53
9.5,63.3
1.34,354.21
0.84,50.37
8.07,607.56
9.1,796.2
11.46,736.89
