Kilometros_recorridos,Consumo_combustible
76,4
174,13
337,27
347,19
250,20
451,33
218,18
460,27
294,22
407,35
378,36
133,8
263,26
179,14
333,26
76,5
166,13
239,14
63,4
349,21
488,28
112,6
465,43
444,40
425,26
105,7
84,6
452,26
309,24
475,28
484,34
62,4
208,19
303,25
64,5
285,20
420,23
463,34
60,4
51,3
467,31
50,2
288,19
310,23
125,7
486,43
300,15
417,26
437,28
66,4
113,7
261,19
217,16
336,17
141,10
182,15
349,28
447,27
87,7
249,15
306,27
445,34
60,4
301,22
394,32
185,10
83,4
370,25
263,19
88,8
355,32
255,15
285,26
161,14
162,10
180,14
126,7
245,17
50,4
69,6
379,27
366,26
304,20
106,6
375,30
145,8
488,27
297,21
311,27
84,5
143,10
270,14
396,19
197,15
315,30
374,20
81,4
444,22
76,7
96,4
