Fecha_Construccion,Tamano_m2,Num_Habitaciones,Distancia_Centro_km,Precio_USD,,
01-01-01,0.413654618,0.4,0.69112439,176957.1,,
02-01-01,0.642570281,0.8,0.034951261,244719.9,,
03-01-01,0.546184739,0.6,0.800992291,228634.2,,
04-01-01,0.168674699,0.8,0.628141343,138581.78,,
05-01-01,0.983935743,0,0.077730021,313257.98,,
06-01-01,0.702811245,0.8,0.875740395,220332.44,,
07-01-01,0.152610442,0.8,0.923403934,59589.4,,
08-01-01,0.883534137,0.2,0.056887255,295457.48,,
09-01-01,0.678714859,0.2,0.274374157,262941.1,,
10-01-01,0.987951807,1,0.807836266,278240.33,,
11-01-01,0.100401606,0.2,0.749441664,68600.94,,
12-01-01,0.393574297,0.8,0.181295445,197297.78,,
13-01-01,0.196787149,0.4,0.206317867,100857.74,,
14-01-01,0.610441767,0.8,0.368700373,266512.62,,
15-01-01,0.606425703,0.4,0.483642954,244897.67,,
16-01-01,0.048192771,0.4,0.618420312,59141.22,,
17-01-01,0.236947791,0.2,0.367129725,127603.01,,
18-01-01,1,0.6,0.461482771,347172.99,,
19-01-01,0.53815261,0,0.748646745,164646.69,,
20-01-01,0.224899598,0.2,0.03230177,159872.37,,
21-01-01,0.140562249,0.2,0.249742365,136358.66,,
22-01-01,0.690763052,0.6,0.714258618,239625.72,,
23-01-01,0.076305221,0,0.897537707,79078,,
24-01-01,0.257028112,0.8,0.511009716,121322.71,,
25-01-01,0.02811245,1,0.531605536,115137.42,,
26-01-01,0.951807229,1,0.10334169,369784.02,,
27-01-01,0.574297189,0.8,0.446242189,236050.08,,
28-01-01,0.56626506,0.2,0.532113256,229108.2,,
29-01-01,0.815261044,0,0.239698003,291936.71,,
30-01-01,0.457831325,0.2,0.266680051,210383.89,,
31-01-01,0.859437751,0.4,0.375565693,318117.52,,
01-02-01,0.570281124,0.2,0.015559885,200835.87,,
02-02-01,0.365461847,0.2,0.319929079,180319.41,,
03-02-01,0.389558233,0.8,0.208432959,163736.02,,
04-02-01,0.261044177,0.8,0.325389627,139005.15,,
05-02-01,0.124497992,0.8,0.116030245,169053.8,,
06-02-01,0.859437751,1,0.892821563,278349.42,,
07-02-01,0.763052209,0.4,0.593565173,235571.64,,
08-02-01,0.341365462,0.8,0.679743591,121612.07,,
09-02-01,0.200803213,0,0.790673076,116228.07,,
10-02-01,0.610441767,1,0.497670994,214090.35,,
11-02-01,0.742971888,0.6,0.08293163,255958.62,,
12-02-01,0.248995984,0,0.536637631,135847.82,,
13-02-01,0.759036145,0,0.586761053,208963.22,,
14-02-01,0.497991968,0.8,0.746599398,212764.51,,
15-02-01,0.598393574,0.6,0.430366206,261963.75,,
16-02-01,0.228915663,0.6,0.123909542,160600.34,,
17-02-01,0.228915663,1,0.281326348,125541,,
18-02-01,0.341365462,0.6,0.36125279,177941.23,,
19-02-01,0.192771084,0.4,0.646299059,107536.8,,
20-02-01,0.718875502,0.8,0.570572654,253894.86,,
21-02-01,0.678714859,0.6,0.354212603,265346.39,,
22-02-01,0.277108434,1,0.989560006,92782.12,,
23-02-01,0.0562249,0.4,0.605842786,42865.06,,
24-02-01,0.212851406,0.2,0.234413293,102240.85,,
25-02-01,0.939759036,0.2,0.097910013,339096.62,,
26-02-01,0.751004016,0.4,0.149386019,244134.17,,
27-02-01,0.401606426,1,0.243212492,216734.45,,
28-02-01,0.899598394,0.4,0.15726941,339680.48,,
01-03-01,0.02811245,0.8,0.183357446,86179.11,,
02-03-01,0.208835341,0.8,0.282655926,151464.48,,
03-03-01,0.236947791,0.2,0.170060866,139944.33,,
04-03-01,0.9437751,0.6,0.899108479,323987.61,,
05-03-01,0.429718876,1,0.076192809,241346.44,,
06-03-01,0.016064257,0.2,0.523944004,44578.34,,
07-03-01,0.409638554,0.6,0.408937246,193196.98,,
08-03-01,0.78313253,0.6,0.985391032,220022.04,,
09-03-01,0.020080321,0.8,0.108246632,142501.74,,
10-03-01,0.43373494,0,0.396297965,198924.38,,
11-03-01,0.895582329,0,0.972381927,258770.71,,
12-03-01,0.46184739,0.4,0.86760579,179800.59,,
13-03-01,0.373493976,0.8,0.818792049,141609.82,,
14-03-01,0.184738956,0.6,0.255250983,124041.64,,
15-03-01,0.393574297,1,0.167555421,225088.52,,
16-03-01,0.21686747,0,0.669202718,108218.69,,
17-03-01,0.670682731,0.6,0.931974007,209096.19,,
18-03-01,0.204819277,0,0.556447664,85707.75,,
19-03-01,0.574297189,0,0.571413562,206846.46,,
20-03-01,0.048192771,0,0.277499851,112761.21,,
21-03-01,0.453815261,1,0.770840918,216369.41,,
22-03-01,0.493975904,0.8,0.183837898,193151.46,,
23-03-01,0.421686747,1,0.32154166,164226.6,,
24-03-01,0.630522088,0.2,0.424094443,197324.69,,
25-03-01,0.586345382,0.6,0.506910854,246558.6,,
26-03-01,0.578313253,0.8,0.239636757,212940.24,,
27-03-01,0.477911647,0.8,0.11106643,192339.46,,
28-03-01,0.248995984,0.8,0.610725891,133584.04,,
29-03-01,0.072289157,0.8,0.286218951,108259.43,,
30-03-01,0.365461847,1,0.581114351,167288.18,,
31-03-01,0.228915663,0.8,0.15090135,125046.96,,
01-04-01,0.730923695,0.4,0.480233621,257093.87,,
02-04-01,0.357429719,0.6,0.532085205,153109.81,,
03-04-01,0.915662651,0.8,0.047560477,303994.23,,
04-04-01,0.871485944,0.6,0.334567755,337476.95,,
05-04-01,0.465863454,0.4,0.13079735,242203.95,,
06-04-01,0.24497992,0.4,0.059202225,131324.25,,
07-04-01,0.088353414,0.6,0.993031924,65582.31,,
08-04-01,0.506024096,0,0.320205906,192303.48,,
09-04-01,0.546184739,0.2,0.81153815,194027.28,,
10-04-01,0.558232932,0,0.251963305,199230.84,,
11-04-01,0.979919679,0,0.682162762,318472.84,,
12-04-01,0.514056225,1,0.761503406,197906.78,,
13-04-01,0.228915663,0,0.595627459,118452.95,,
14-04-01,0.485943775,0.8,0.470594933,200648.58,,
15-04-01,0,1,0.410392623,118113.23,,
16-04-01,0.955823293,1,0.346927629,341765.64,,
17-04-01,0.13253012,0.4,0.93212836,44087.31,,
18-04-01,0.381526104,0,0.832445305,99824.07,,
19-04-01,0.502008032,0.4,0.967903663,136028.44,,
20-04-01,0.469879518,0.6,0.120600794,190790.76,,
21-04-01,0.18875502,0.2,0.731913469,88609.69,,
22-04-01,0.353413655,1,0.941008563,119576.25,,
23-04-01,0.927710843,0.6,0.177981785,302488.48,,
24-04-01,0.947791165,0.6,0.062347925,341143.22,,
25-04-01,0.465863454,0.8,0.742246807,196015,,
26-04-01,0.514056225,0.2,0.57429635,214680.56,,
27-04-01,0.060240964,0.6,0.843742314,85173.93,,
28-04-01,0.75502008,0.6,0.136196938,250893.2,,
29-04-01,0.923694779,0.2,0.796816811,263874.5,,
30-04-01,0.767068273,0.2,0.19853549,251305.62,,
01-05-01,0.763052209,0.6,0.160267236,290507.96,,
02-05-01,0.273092369,0.2,0.16088186,144472.58,,
03-05-01,0.084337349,0.6,0.816275173,76754.67,,
04-05-01,0.369477912,0.6,0.665729777,133418.56,,
05-05-01,0.987951807,0.8,0.522486734,319662.21,,
06-05-01,0.779116466,0,0.356967735,296187.83,,
07-05-01,0.301204819,0.6,0.879390629,150122.37,,
08-05-01,0.614457831,0.4,0.390845172,220238.18,,
09-05-01,0.574297189,1,0.818315723,238637.23,,
10-05-01,0.714859438,0,0.437900014,246530.18,,
11-05-01,0.915662651,0,0.375223303,303137.22,,
12-05-01,0.341365462,0,0.461628975,172164.57,,
13-05-01,0.738955823,0.8,0.299065936,295520.08,,
14-05-01,0.112449799,0.6,0.74878627,57638.66,,
15-05-01,0.823293173,0.8,0.501982633,275842.22,,
16-05-01,0.879518072,0.6,0.229359994,300531.66,,
17-05-01,0.273092369,0.8,0.901939591,131824.67,,
18-05-01,0.184738956,0.8,0.382224408,125734.31,,
19-05-01,0.963855422,1,0.54313435,347473.93,,
20-05-01,0.373493976,0.4,0.908891057,164424.62,,
21-05-01,0.951807229,0.8,0.624450316,273794.2,,
22-05-01,0.759036145,1,0.113143761,286219.91,,
23-05-01,0.975903614,0.2,0.942511892,307489.74,,
24-05-01,0.787148594,0.4,0.627947503,224592.93,,
25-05-01,0.815261044,0.8,0.332855811,325575.47,,
26-05-01,0.574297189,0,0.135692723,258922.22,,
27-05-01,0.871485944,0.2,0.795564977,254946.54,,
28-05-01,0.871485944,0.2,0.62025251,247035.78,,
29-05-01,0.702811245,1,0.532963679,283059.26,,
30-05-01,0.337349398,0.2,0.896213177,126154.23,,
31-05-01,0.152610442,0.4,0.790094561,105261.36,,
01-06-01,0.397590361,0.8,0.1481925,206202.86,,
02-06-01,0.128514056,0.8,0.309491005,109920.12,,
03-06-01,0.887550201,0,0.245763695,317587.63,,
04-06-01,0.401606426,1,0.745094543,165851.12,,
05-06-01,0.088353414,0,0.029126367,124055.12,,
06-06-01,1,0.2,0.569677086,334946.4,,
07-06-01,0.036144578,0,0.763751673,74777.4,,
08-06-01,0.983935743,0.4,0.878952325,308147.59,,
09-06-01,0.273092369,0.8,0.340088051,132159.26,,
10-06-01,0.397590361,0.2,0.823010005,147367.08,,
11-06-01,0.13253012,0,0.106828465,80583.36,,
12-06-01,0.718875502,1,0.848401977,209905.77,,
13-06-01,0.891566265,0.4,0.123817185,332605.66,,
14-06-01,0.550200803,0.4,0.395725213,234957.34,,
15-06-01,1,0,0.798860721,256756.87,,
16-06-01,0.586345382,0.8,0.146421307,211304.79,,
17-06-01,0.742971888,0,0.226375542,277703.42,,
18-06-01,0.381526104,0.2,0.723231208,111109.35,,
19-06-01,0,0,0.72099785,29237.88,,
20-06-01,0.991967871,0.4,0.641492159,273813.44,,
21-06-01,0.273092369,0,0.69470579,132750.99,,
22-06-01,0.947791165,0.8,0.542299455,320521.98,,
23-06-01,0.012048193,1,0.249099493,97395.65,,
24-06-01,0.060240964,0.6,0.343730553,131949.63,,
25-06-01,0.092369478,0,0.178349287,96467.33,,
26-06-01,0.317269076,0.8,0.910884976,166309.87,,
27-06-01,0.987951807,0.8,0.583284761,339163.28,,
28-06-01,0.004016064,1,0.399317205,110750.62,,
29-06-01,0.963855422,0.4,0.460949723,292203.66,,
30-06-01,0.879518072,0.8,0.950021365,274057.57,,
01-07-01,0.510040161,0.8,0.149882131,214105.62,,
02-07-01,0.638554217,0.8,0.586144988,265998.67,,
03-07-01,0.875502008,0.8,0.505175693,330658.46,,
04-07-01,0.333333333,0.2,0.611566606,115535.65,,
05-07-01,0.606425703,0.2,0.013583539,222949.61,,
06-07-01,0.558232932,0.4,0.874274306,223416.81,,
07-07-01,0.710843373,0,0.934737741,233937.14,,
08-07-01,0.65060241,0.8,0.564883397,271222.28,,
09-07-01,0.493975904,1,0.697429298,162594.25,,
10-07-01,0.128514056,0,0.925043635,50495.04,,
11-07-01,0.642570281,1,0.708099888,254980.16,,
12-07-01,0.75502008,0,0.14906342,267152.74,,
13-07-01,0.714859438,0.4,0.576125789,225575.28,,
14-07-01,0.682730924,0.8,0.606790364,273810.53,,
15-07-01,0.401606426,0.8,0.422778467,166400.42,,
16-07-01,0.044176707,0.6,0.737533831,55286.23,,
17-07-01,0.265060241,1,0.937004055,159806.71,,
18-07-01,0.257028112,0,0.928136763,114317.03,,
19-07-01,0.642570281,0,0.449695987,218851.32,,
20-07-01,0.670682731,0.2,0.109455151,257432.19,,
21-07-01,0.293172691,0.6,0.987872868,121879.21,,
