Fecha_Construccion,Tamano_m2,Num_Habitaciones,Distancia_Centro_km,Precio_USD,,
2001-01-01,0.413654618,0.4,0.69112439,176957.1,,
2001-01-02,0.642570281,0.8,0.034951261,244719.9,,
2001-01-03,0.546184739,0.6,0.800992291,228634.2,,
2001-01-04,0.168674699,0.8,0.628141343,138581.78,,
2001-01-05,0.983935743,0,0.077730021,313257.98,,
2001-01-06,0.702811245,0.8,0.875740395,220332.44,,
2001-01-07,0.152610442,0.8,0.923403934,59589.4,,
2001-01-08,0.883534137,0.2,0.056887255,295457.48,,
2001-01-09,0.678714859,0.2,0.274374157,262941.1,,
2001-01-10,0.987951807,1,0.807836266,278240.33,,
2001-01-11,0.100401606,0.2,0.749441664,68600.94,,
2001-01-12,0.393574297,0.8,0.181295445,197297.78,,
2001-01-13,0.196787149,0.4,0.206317867,100857.74,,
2001-01-14,0.610441767,0.8,0.368700373,266512.62,,
2001-01-15,0.606425703,0.4,0.483642954,244897.67,,
2001-01-16,0.048192771,0.4,0.618420312,59141.22,,
2001-01-17,0.236947791,0.2,0.367129725,127603.01,,
2001-01-18,1,0.6,0.461482771,347172.99,,
2001-01-19,0.53815261,0,0.748646745,164646.69,,
2001-01-20,0.224899598,0.2,0.03230177,159872.37,,
2001-01-21,0.140562249,0.2,0.249742365,136358.66,,
2001-01-22,0.690763052,0.6,0.714258618,239625.72,,
2001-01-23,0.076305221,0,0.897537707,79078,,
2001-01-24,0.257028112,0.8,0.511009716,121322.71,,
2001-01-25,0.02811245,1,0.531605536,115137.42,,
2001-01-26,0.951807229,1,0.10334169,369784.02,,
2001-01-27,0.574297189,0.8,0.446242189,236050.08,,
2001-01-28,0.56626506,0.2,0.532113256,229108.2,,
2001-01-29,0.815261044,0,0.239698003,291936.71,,
2001-01-30,0.457831325,0.2,0.266680051,210383.89,,
2001-01-31,0.859437751,0.4,0.375565693,318117.52,,
2001-02-01,0.570281124,0.2,0.015559885,200835.87,,
2001-02-02,0.365461847,0.2,0.319929079,180319.41,,
2001-02-03,0.389558233,0.8,0.208432959,163736.02,,
2001-02-04,0.261044177,0.8,0.325389627,139005.15,,
2001-02-05,0.124497992,0.8,0.116030245,169053.8,,
2001-02-06,0.859437751,1,0.892821563,278349.42,,
2001-02-07,0.763052209,0.4,0.593565173,235571.64,,
2001-02-08,0.341365462,0.8,0.679743591,121612.07,,
2001-02-09,0.200803213,0,0.790673076,116228.07,,
2001-02-10,0.610441767,1,0.497670994,214090.35,,
2001-02-11,0.742971888,0.6,0.08293163,255958.62,,
2001-02-12,0.248995984,0,0.536637631,135847.82,,
2001-02-13,0.759036145,0,0.586761053,208963.22,,
2001-02-14,0.497991968,0.8,0.746599398,212764.51,,
2001-02-15,0.598393574,0.6,0.430366206,261963.75,,
2001-02-16,0.228915663,0.6,0.123909542,160600.34,,
2001-02-17,0.228915663,1,0.281326348,125541,,
2001-02-18,0.341365462,0.6,0.36125279,177941.23,,
2001-02-19,0.192771084,0.4,0.646299059,107536.8,,
2001-02-20,0.718875502,0.8,0.570572654,253894.86,,
2001-02-21,0.678714859,0.6,0.354212603,265346.39,,
2001-02-22,0.277108434,1,0.989560006,92782.12,,
2001-02-23,0.0562249,0.4,0.605842786,42865.06,,
2001-02-24,0.212851406,0.2,0.234413293,102240.85,,
2001-02-25,0.939759036,0.2,0.097910013,339096.62,,
2001-02-26,0.751004016,0.4,0.149386019,244134.17,,
2001-02-27,0.401606426,1,0.243212492,216734.45,,
2001-02-28,0.899598394,0.4,0.15726941,339680.48,,
2001-03-01,0.02811245,0.8,0.183357446,86179.11,,
2001-03-02,0.208835341,0.8,0.282655926,151464.48,,
2001-03-03,0.236947791,0.2,0.170060866,139944.33,,
2001-03-04,0.9437751,0.6,0.899108479,323987.61,,
2001-03-05,0.429718876,1,0.076192809,241346.44,,
2001-03-06,0.016064257,0.2,0.523944004,44578.34,,
2001-03-07,0.409638554,0.6,0.408937246,193196.98,,
2001-03-08,0.78313253,0.6,0.985391032,220022.04,,
2001-03-09,0.020080321,0.8,0.108246632,142501.74,,
2001-03-10,0.43373494,0,0.396297965,198924.38,,
2001-03-11,0.895582329,0,0.972381927,258770.71,,
