Fecha,Tiempo_en_redes_sociales,Tipo_de_contenido,Interacciones,Estado_de_animo 
1989-04-04,0.146341463,2,0.819838057,0.888888889
1993-07-06,0.543554007,1,0.172064777,0.777777778
2003-10-27,0.540069686,0,0.882591093,0.888888889
1982-02-23,0.006968641,1,0.722672065,0.777777778
2005-02-06,0.773519164,1,0.546558704,0.777777778
2003-08-24,0.470383275,1,0.046558704,0.111111111
1985-06-04,0.783972125,0,0.376518219,0.555555556
1989-05-11,0.923344948,1,0.83805668,0.777777778
1996-08-12,0.696864111,1,0.410931174,0.333333333
1996-04-04,1,1,0.439271255,0
1980-06-01,0.334494774,2,0.971659919,0.666666667
1985-09-07,0.149825784,0,1,0
2000-02-18,0.797909408,0,0.740890688,0.666666667
2005-03-15,0.324041812,1,0.785425101,0
1988-02-27,0.581881533,0,0.736842105,0.333333333
1993-03-14,0.773519164,0,0.9048583,0.111111111
1996-09-26,0.146341463,2,0.074898785,0.555555556
1991-07-07,0.43902439,2,0.937246964,0.777777778
1991-12-11,0.926829268,0,0.686234818,0.444444444
1996-07-12,0.466898955,0,0.585020243,0
1992-08-21,0.947735192,2,0.467611336,0.222222222
1999-08-10,0.470383275,1,0.109311741,0.444444444
1993-04-03,0.529616725,2,0.898785425,0.333333333
1999-12-11,0.724738676,2,0.334008097,0.111111111
2001-11-03,0.832752613,1,0.935222672,0.666666667
1996-09-18,0.731707317,0,0.060728745,0.888888889
1994-02-28,0.080139373,1,0.004048583,0.222222222
1980-04-13,0.693379791,0,0.682186235,0.666666667
1999-07-17,0.871080139,2,0.546558704,0.777777778
1984-04-15,0.68989547,0,0.182186235,0.333333333
1981-10-15,0.480836237,1,0.967611336,0.222222222
1981-03-03,0.348432056,0,0.607287449,0.666666667
1989-08-25,0.543554007,0,0.022267206,0.777777778
2004-09-17,0.484320557,2,0.467611336,0.333333333
1983-12-20,0.655052265,1,0.042510121,0.888888889
1986-08-15,0.017421603,2,0.943319838,0.111111111
1986-07-06,0.362369338,0,0.512145749,1
1983-05-14,0.700348432,0,0.457489879,0.222222222
1988-07-15,0.466898955,2,0.550607287,0.333333333
1998-09-26,0.857142857,2,0.370445344,0.555555556
1996-09-22,0.456445993,0,0.740890688,0.222222222
1996-03-03,0.494773519,1,0.659919028,0.777777778
1995-06-25,0.905923345,1,0.028340081,0.333333333
2000-12-03,0.602787456,1,0.655870445,0
1997-10-11,0.74912892,0,0.712550607,1
1982-06-13,0,2,0.601214575,0.777777778
1990-06-21,0.456445993,0,0.348178138,0.444444444
2005-09-22,0.432055749,0,0.591093117,0.444444444
1998-01-03,0.425087108,0,0.244939271,0.444444444
1985-09-07,0.790940767,2,0.763157895,0
1998-05-19,0.787456446,2,0.550607287,0.333333333
1996-11-22,0.519163763,2,0.5,0.888888889
2000-06-22,0.233449477,0,0.659919028,0.888888889
1988-05-15,0.714285714,0,0.639676113,0.222222222
2000-09-28,0.195121951,2,0.866396761,0.888888889
2002-07-02,0.163763066,1,0.149797571,0.555555556
1990-01-12,0.480836237,2,0.94534413,0.666666667
2002-03-20,0.979094077,0,0.277327935,0.222222222
1999-12-02,0.696864111,0,0.48582996,0.444444444
2005-11-13,0.770034843,0,0.876518219,1
2004-12-08,0.543554007,1,0.340080972,0.666666667
1996-11-15,0.93728223,1,0.362348178,0.888888889
2004-01-17,0.905923345,2,0.550607287,0.888888889
2004-08-25,0.648083624,2,0.79757085,0.444444444
1999-06-25,0.745644599,0,0.064777328,0.111111111
1990-11-22,0.484320557,1,0.856275304,0.555555556
1994-07-20,0.473867596,1,0.536437247,0.777777778
1991-10-27,0.233449477,0,0.888663968,0.111111111
1998-08-05,0.299651568,1,0.447368421,0.444444444
1991-12-18,0.979094077,2,0.253036437,0.111111111
1996-07-19,0.766550523,1,0.961538462,0.555555556
1995-05-27,0.142857143,1,0.421052632,0.888888889
2004-08-08,0.271777003,0,0.925101215,0.888888889
1984-09-19,0.066202091,1,0.870445344,0.888888889
1986-04-06,0.588850174,1,0.370445344,0.111111111
2004-07-25,0.027874564,0,0.33805668,0.333333333
1989-07-03,0.219512195,2,0.548582996,1
1995-05-02,0.648083624,1,0.542510121,0.666666667
1986-03-27,0.693379791,1,0.097165992,0.111111111
1986-12-12,0.891986063,0,0.767206478,0.777777778
1996-10-03,0.3728223,1,0.20242915,0.111111111
2005-08-27,0.324041812,1,0.093117409,0.777777778
1987-12-26,0.679442509,1,0.801619433,0.888888889
1991-08-23,0.369337979,2,0.281376518,0.777777778
1995-05-25,0.93728223,1,0.67611336,0.111111111
2004-01-17,0.721254355,0,0.29757085,0.222222222
2004-10-08,0.606271777,0,0.097165992,0.777777778
1993-12-10,0.745644599,1,0.24291498,0.777777778
2004-04-15,0.923344948,2,0.240890688,0.555555556
2004-06-28,0.073170732,1,0.510121457,0.555555556
1986-01-28,0.017421603,1,0.018218623,1
1987-01-25,0.864111498,2,0.036437247,0
2000-05-28,0.317073171,0,0.651821862,0.555555556
1994-07-07,0.010452962,1,0.032388664,0.111111111
2004-03-26,0.400696864,2,0.615384615,0.777777778
1982-08-03,0.198606272,0,0.674089069,0.888888889
1984-03-20,0.519163763,1,0.046558704,0.444444444
1992-06-08,0.362369338,2,0.491902834,0
1987-07-04,0.933797909,2,0.218623482,0.444444444
1989-08-17,0.43902439,2,0.829959514,0.777777778
1995-03-15,0.996515679,1,0.012145749,0.444444444
1980-07-07,0.3728223,2,0.836032389,0.555555556
1992-05-04,0.278745645,1,0.566801619,0.888888889
1991-12-15,0.522648084,2,0.374493927,1
1986-02-24,0.348432056,0,0.044534413,0.222222222
1984-08-02,0.794425087,2,0.589068826,0.555555556
2001-03-09,0.414634146,2,0.973684211,0.777777778
2003-12-01,0.163763066,0,0.157894737,0
1982-02-26,0.738675958,2,0.775303644,0.222222222
2001-08-17,0.975609756,0,0.785425101,0.888888889
